DATE,DRUG,COUNT,OUTCOME,PRR,ROR
20130101,1151789,1011.0,35809005,43.81074,46.22211
20130210,1151789,1155.0,35809005,7.65350,8.02321
20130310,1151789,1229.0,35809005,9.01034,9.45514
20130401,1151789,1229.0,35809005,9.80170,10.28206
20130501,1151789,1294.0,35809005,10.70422,11.22875
20130601,1151789,1355.0,35809005,11.44247,11.99807
20130701,1151789,1415.0,35809005,12.31098,12.90914
20130801,1151789,1470.0,35809005,13.21676,13.85750
20130901,1151789,1522.0,35809005,13.17053,13.76462
20131001,1151789,1824.0,35809005,13.89754,14.52700
20131101,1151789,2258.0,35809005,15.02308,15.72332
20131201,1151789,2322.0,35809005,15.48139,16.20177
20140101,1151789,2362.0,35809005,16.33950,17.09866
20140210,1151789,2442.0,35809005,17.03476,17.82374
20140310,1151789,2704.0,35809005,10.56715,11.03696
20140401,1151789,2704.0,35809005,10.91331,11.39675
20140501,1151789,2812.0,35809005,11.40578,11.91470
20140601,1151789,2812.0,35809005,11.64144,12.15702
20140701,1151789,2883.0,35809005,11.88888,12.41097
20140801,1151789,3010.0,35809005,12.33358,12.87348
20140901,1151789,3097.0,35809005,12.64138,13.19121
20141001,1151789,3200.0,35809005,13.04170,13.60824
20141101,1151789,3300.0,35809005,13.34930,13.92561
20141201,1151789,3384.0,35809005,13.60015,14.18229
20150101,1151789,3476.0,35809005,13.91602,14.50808
20150210,1151789,3600.0,35809005,14.37940,14.98615
20150310,1151789,3809.0,35809005,10.94985,11.39707
20150401,1151789,3883.0,35809005,11.14828,11.60027
20150501,1151789,3983.0,35809005,11.40162,11.86140
20150601,1151789,4063.0,35809005,11.75096,12.22097
20150701,1151789,4166.0,35809005,11.87261,12.34531
20150801,1151789,4270.0,35809005,12.16334,12.64620
20150901,1151789,4356.0,35809005,12.43083,12.91760
20151001,1151789,4437.0,35809005,12.46771,12.94932
20151101,1151789,4552.0,35809005,12.61827,13.10213
20151201,1151789,4632.0,35809005,12.82661,13.31276
20160101,1151789,4707.0,35809005,12.95398,13.44034
20160210,1151789,4810.0,35809005,9.70556,10.05634
20160310,1151789,4874.0,35809005,9.78578,10.13479
20160401,1151789,4928.0,35809005,9.82467,10.17171
20160501,1151789,4999.0,35809005,9.86575,10.21105
20160601,1151789,5090.0,35809005,9.93622,10.28043
20160701,1151789,5155.0,35809005,9.98492,10.32705
20160801,1151789,5219.0,35809005,10.05000,10.39072
20160901,1151789,5288.0,35809005,10.12123,10.46079
20161001,1151789,5355.0,35809005,10.19695,10.53598
20161101,1151789,5428.0,35809005,10.29730,10.63726
20161201,1151789,5535.0,35809005,10.38431,10.72471
20170101,1151789,5619.0,35809005,10.50343,10.84657
20170210,1151789,5725.0,35809005,10.48148,10.82103
20170310,1151789,5786.0,35809005,10.47824,10.81581
20170401,1151789,5856.0,35809005,10.55886,10.89867
20170501,1151789,5930.0,35809005,10.61598,10.95522
20170601,1151789,6031.0,35809005,10.69741,11.03797
20170701,1151789,6104.0,35809005,10.74823,11.08874
20170801,1151789,6192.0,35809005,10.69475,11.03201
20170901,1151789,6283.0,35809005,10.68179,11.01691
20171001,1151789,6353.0,35809005,10.79794,11.13576
20171101,1151789,6438.0,35809005,10.92032,11.26109
20171201,1151789,6482.0,35809005,10.98999,11.33150
20180101,1151789,6512.0,35809005,11.05656,11.39777
20180210,1151789,6512.0,35809005,11.05656,11.39777
20180310,1151789,6512.0,35809005,11.05656,11.39777
20180401,1151789,6512.0,35809005,11.05656,11.39777
20180501,1151789,6512.0,35809005,11.05656,11.39777
20180601,1151789,6512.0,35809005,11.05656,11.39777
20180701,1151789,6512.0,35809005,11.05656,11.39777
20180801,1151789,6512.0,35809005,11.05656,11.39777
20180901,1151789,6512.0,35809005,11.05656,11.39777
20181001,1151789,6512.0,35809005,11.05656,11.39777
20181101,1151789,6512.0,35809005,11.05656,11.39777
20181201,1151789,6512.0,35809005,11.05656,11.39777
